prompt_tokens,completion_tokens,total_tokens
1274,169,1443
554,318,872
866,1133,1999
1544,1526,3070
1269,136,1405
516,145,661
688,611,1299
1017,489,1506
1211,128,1339
450,188,638
673,683,1356
1031,328,1359
1552,169,1721
832,287,1119
1113,798,1911
1487,925,2412
1302,156,1458
569,237,806
813,834,1647
1273,741,2014
1697,136,1833
944,189,1133
1160,827,1987
1661,275,1936
1761,152,1913
1024,204,1228
1239,629,1868
1527,572,2099
1168,152,1320
431,344,775
786,744,1530
1049,600,1649
1670,185,1855
966,215,1181
1159,925,2084
1732,842,2574
1471,185,1656
767,244,1011
989,991,1980
1599,917,2516
1876,229,2105
1216,265,1481
1415,973,2388
1986,1700,3686
1396,145,1541
652,246,898
916,623,1539
1156,788,1944
1228,136,1364
475,184,659
686,864,1550
1229,336,1565
1104,136,1240
351,167,518
545,533,1078
774,354,1128
1239,185,1424
535,317,852
830,843,1673
1219,742,1961
1603,185,1788
899,433,1332
1310,822,2132
1562,1167,2729
1584,169,1753
864,315,1179
1173,862,2035
1583,593,2176
1361,152,1513
624,193,817
828,1235,2063
1733,676,2409
1206,79,1285
396,106,502
586,749,1335
1092,814,1906
1390,152,1542
653,235,888
899,859,1758
1386,804,2190
1388,185,1573
684,272,956
934,859,1793
1384,1013,2397
1420,218,1638
749,286,1035
980,596,1576
1153,936,2089
1465,189,1654
765,293,1058
1032,752,1784
1354,1003,2357
1227,204,1431
542,256,798
757,837,1594
1201,804,2005
1570,169,1739
850,223,1073
1067,859,1926
1566,1325,2891
1479,169,1648
759,329,1088
1082,610,1692
1226,659,1885
1153,130,1283
394,177,571
604,679,1283
969,385,1354
