prompt_tokens,completion_tokens,total_tokens
1063,169,1232
342,226,568
557,639,1196
888,1115,2003
1065,184,1249
359,246,605
579,622,1201
873,696,1569
1068,171,1239
349,188,537
524,608,1132
863,1013,1876
1046,218,1264
374,248,622
562,681,1243
913,1021,1934
1070,113,1183
293,164,457
502,680,1182
936,856,1792
1064,261,1325
435,256,691
588,698,1286
948,1040,1988
1072,175,1247
357,188,545
528,558,1086
816,926,1742
1060,113,1173
283,117,400
445,648,1093
895,609,1504
1058,174,1232
342,280,622
606,731,1337
975,750,1725
1051,138,1189
299,144,443
463,553,1016
791,869,1660
1072,186,1258
368,293,661
633,651,1284
910,1107,2017
1066,109,1175
285,109,394
443,648,1091
901,734,1635
1064,167,1231
341,206,547
538,606,1144
856,585,1441
1074,113,1187
297,113,410
455,605,1060
865,606,1471
1076,162,1238
348,234,582
578,641,1219
903,738,1641
1045,158,1203
313,208,521
521,715,1236
946,692,1638
1064,109,1173
283,153,436
485,602,1087
852,921,1773
1066,109,1175
285,160,445
494,787,1281
1040,990,2030
1065,170,1235
345,206,551
539,655,1194
906,707,1613
1068,113,1181
291,161,452
497,790,1287
1044,737,1781
1060,218,1278
388,237,625
565,581,1146
827,931,1758
1074,215,1289
399,265,664
607,505,1112
765,709,1474
1070,109,1179
289,150,439
488,519,1007
775,640,1415
1080,138,1218
328,172,500
520,728,1248
994,931,1925
1060,167,1227
337,243,580
571,500,1071
746,483,1229
1051,138,1189
299,170,469
489,693,1182
930,724,1654
1067,142,1209
319,169,488
504,599,1103
853,742,1595
1067,109,1176
286,151,437
486,460,946
713,609,1322
1077,113,1190
300,165,465
510,701,1211
964,876,1840
1060,157,1217
327,195,522
523,562,1085
808,753,1561
1058,208,1266
376,234,610
560,573,1133
817,769,1586
1070,113,1183
293,169,462
507,565,1072
821,833,1654
1065,164,1229
339,403,742
736,790,1526
1041,765,1806
1077,113,1190
300,115,415
460,693,1153
956,837,1793
1064,142,1206
316,145,461
477,552,1029
802,888,1690
1070,109,1179
289,155,444
493,683,1176
939,682,1621
1085,113,1198
308,182,490
535,648,1183
919,808,1727
1059,209,1268
378,230,608
557,597,1154
842,743,1585
1057,104,1161
271,137,408
462,658,1120
901,742,1643
1058,113,1171
281,132,413
458,748,1206
992,780,1772
1051,142,1193
303,180,483
499,554,1053
791,649,1440
1054,159,1213
323,218,541
540,509,1049
749,430,1179
1060,166,1226
336,203,539
531,739,1270
985,1951,2936
1054,165,1219
329,199,528
521,648,1169
888,1207,2095
1058,142,1200
310,153,463
479,647,1126
891,960,1851
1088,113,1201
311,166,477
522,719,1241
993,891,1884
1075,156,1231
341,220,561
563,685,1248
947,880,1827
1059,158,1217
327,174,501
501,497,998
742,778,1520
1055,142,1197
307,193,500
516,707,1223
948,1018,1966
1057,113,1170
280,163,443
488,614,1102
857,803,1660
1068,113,1181
291,162,453
498,688,1186
942,852,1794
1087,140,1227
337,364,701
