prompt_tokens,completion_tokens,total_tokens
1031,191,1222
333,193,526
498,711,1209
890,694,1584
1028,158,1186
297,262,559
564,527,1091
703,391,1094
1010,139,1149
260,152,412
436,532,968
690,563,1253
990,191,1181
292,171,463
435,406,841
544,356,900
1010,108,1118
229,114,343
398,490,888
648,448,1096
1029,166,1195
306,171,477
474,386,860
563,373,936
1010,139,1149
260,163,423
447,875,1322
1033,584,1617
1029,112,1141
252,165,417
468,1039,1507
1216,688,1904
1014,206,1220
331,253,584
541,644,1185
806,692,1498
1040,157,1197
308,190,498
504,527,1031
715,491,1206
1040,155,1195
306,219,525
533,878,1411
1066,732,1798
1034,112,1146
257,171,428
479,974,1453
1156,630,1786
1029,104,1133
244,142,386
445,607,1052
784,507,1291
1023,112,1135
246,165,411
462,738,1200
909,648,1557
1028,170,1198
309,194,503
496,618,1114
794,241,1035
1012,163,1175
286,185,471
471,787,1258
947,972,1919
1028,141,1169
280,171,451
473,654,1127
830,502,1332
1001,105,1106
217,131,348
406,351,757
500,307,807
1021,157,1178
289,310,599
605,1245,1850
1414,688,2102
1016,169,1185
296,199,495
489,800,1289
964,432,1396
1017,108,1125
236,135,371
426,569,995
734,416,1150
1025,166,1191
302,311,613
610,1083,1693
1256,724,1980
1053,112,1165
276,139,415
466,548,1014
749,541,1290
1041,141,1182
293,185,478
500,743,1243
932,681,1613
1023,139,1162
273,154,427
451,780,1231
951,481,1432
1041,112,1153
264,161,425
476,756,1232
945,704,1649
996,155,1151
262,187,449
457,648,1105
792,410,1202
1029,108,1137
248,104,352
407,533,940
710,451,1161
998,128,1126
237,208,445
480,836,1316
982,316,1298
1031,126,1157
268,205,473
510,679,1189
858,525,1383
1003,137,1140
251,166,417
443,875,1318
1026,428,1454
1020,137,1157
268,192,460
486,449,935
617,351,968
1010,112,1122
233,123,356
407,476,883
634,544,1178
1027,163,1190
301,161,462
462,673,1135
848,704,1552
1002,155,1157
268,175,443
451,486,937
636,335,971
1017,108,1125
236,157,393
448,503,951
668,362,1030
1032,241,1273
384,282,666
588,977,1565
1157,634,1791
1011,138,1149
260,190,450
475,660,1135
819,504,1323
1021,183,1204
315,172,487
467,1131,1598
1300,801,2101
1031,137,1168
279,185,464
490,421,911
600,360,960
1018,127,1145
256,174,430
466,749,1215
915,247,1162
1010,112,1122
233,122,355
406,593,999
751,228,979
1006,155,1161
272,133,405
413,587,1000
741,563,1304
1023,169,1192
303,152,455
449,736,1185
907,739,1646
1030,108,1138
249,157,406
461,819,1280
997,523,1520
1030,112,1142
253,160,413
464,843,1307
1021,579,1600
1009,137,1146
257,197,454
480,768,1248
925,696,1621
1049,137,1186
297,181,478
504,685,1189
882,559,1441
1033,158,1191
302,203,505
510,975,1485
1156,517,1673
1025,112,1137
248,132,380
431,560,991
733,546,1279
1012,112,1124
235,141,376
427,568,995
728,505,1233
990,138,1128
239,201,440
465,886,1351
1024,456,1480
1031,155,1186
297,192,489
497,970,1467
1149,605,1754
1003,137,1140
251,158,409
435,648,1083
799,598,1397
1009,108,1117
228,142,370
425,497,922
654,419,1073
1018,165,1183
294,164,458
456,773,1229
939,627,1566
1024,108,1132
243,143,386
441,572,1013
744,408,1152
1026,108,1134
245,171,416
471,571,1042
745,237,982
1018,104,1122
233,118,351
410,573,983
739,390,1129
1014,166,1180
291,160,451
448,576,1024
738,525,1263
1015,127,1142
253,192,445
481,571,1052
734,416,1150
1016,162,1178
289,147,436
437,567,1004
731,515,1246
1025,174,1199
310,189,499
488,707,1195
880,412,1292
1036,157,1193
304,234,538
544,1083,1627
1267,567,1834
998,137,1135
246,191,437
463,817,1280
963,413,1376
1026,108,1134
245,160,405
460,972,1432
1146,564,1710
1030,240,1270
381,259,640
563,931,1494
1109,562,1671
994,137,1131
242,122,364
390,388,778
530,359,889
1026,108,1134
245,142,387
442,412,854
586,434,1020
1044,108,1152
263,157,420
475,758,1233
950,540,1490
1045,108,1153
264,158,422
477,682,1159
875,494,1369
990,108,1098
209,160,369
424,459,883
597,348,945
1008,177,1185
296,222,518
504,583,1087
739,332,1071
1023,183,1206
317,258,575
555,1301,1856
1472,899,2371
1013,136,1149
260,137,397
424,478,902
639,439,1078
1033,112,1145
256,152,408
459,682,1141
863,657,1520
1014,177,1191
302,212,514
500,752,1252
914,396,1310
1054,178,1232
