prompt_tokens,completion_tokens,total_tokens
269,191,460
470,548,1018
494,444,938
510,462,972
432,407,839
486,439,925
593,445,1038
647,490,1137
669,730,1399
641,687,1328
758,1008,1766
939,136,1075
943,110,1053
941,120,1061
949,120,1069
955,143,1098
270,135,405
278,184,462
315,170,485
286,202,488
433,363,796
506,317,823
480,447,927
292,258,550
480,409,889
568,510,1078
552,394,946
528,403,931
664,671,1335
595,395,990
612,759,1371
930,112,1042
943,151,1094
943,143,1086
938,144,1082
957,188,1145
303,192,495
259,172,431
311,222,533
299,251,550
362,260,622
457,352,809
490,601,1091
572,472,1044
544,412,956
520,613,1133
544,470,1014
806,519,1325
612,421,1033
691,732,1423
818,836,1654
940,112,1052
942,173,1115
935,151,1086
946,157,1103
939,154,1093
269,169,438
332,221,553
303,192,495
320,189,509
310,242,552
482,344,826
464,341,805
518,325,843
490,412,902
536,385,921
541,351,892
529,475,1004
620,736,1356
586,607,1193
543,537,1080
935,143,1078
954,161,1115
950,177,1127
938,110,1048
946,173,1119
265,129,394
295,186,481
332,226,558
344,308,652
336,242,578
535,379,914
476,353,829
422,516,938
543,355,898
550,313,863
595,491,1086
613,805,1418
716,814,1530
563,556,1119
1017,813,1830
929,173,1102
930,110,1040
938,143,1081
935,143,1078
932,171,1103
319,213,532
257,150,407
295,199,494
298,200,498
497,443,940
320,227,547
493,582,1075
435,573,1008
634,514,1148
489,361,850
514,407,921
782,807,1589
558,556,1114
601,551,1152
765,445,1210
930,133,1063
951,163,1114
933,173,1106
937,133,1070
957,173,1130
280,159,439
331,198,529
287,161,448
347,214,561
323,247,570
444,502,946
535,423,958
526,511,1037
453,626,1079
504,519,1023
618,650,1268
694,667,1361
730,901,1631
732,690,1422
825,379,1204
943,143,1086
939,143,1082
939,124,1063
954,120,1074
941,163,1104
291,167,458
303,185,488
299,218,517
321,228,549
512,405,917
483,487,970
280,216,496
524,599,1123
606,438,1044
476,350,826
510,603,1113
692,575,1267
566,627,1193
804,180,984
802,938,1740
923,157,1080
928,112,1040
955,143,1098
950,163,1113
958,202,1160
257,178,435
315,192,507
297,193,490
377,242,619
330,251,581
471,372,843
461,477,938
555,481,1036
667,248,915
556,397,953
502,506,1008
557,392,949
701,621,1322
609,675,1284
723,688,1411
934,112,1046
928,142,1070
929,143,1072
940,143,1083
944,151,1095
287,174,461
263,169,432
300,167,467
312,185,497
289,214,503
462,358,820
457,437,894
484,419,903
498,368,866
458,563,1021
627,462,1089
759,310,1069
559,368,927
560,641,1201
625,631,1256
938,136,1074
955,143,1098
949,168,1117
931,168,1099
315,234,549
951,147,1098
316,210,526
334,220,554
315,186,501
291,187,478
492,287,779
544,582,1126
480,373,853
496,502,998
524,394,918
500,388,888
695,158,853
799,322,1121
573,347,920
605,473,1078
949,143,1092
933,143,1076
919,126,1045
951,143,1094
938,143,1081
309,182,491
293,190,483
262,158,420
311,213,524
298,219,517
478,397,875
519,337,856
432,368,800
512,487,999
549,423,972
592,444,1036
550,491,1041
486,474,960
687,614,1301
685,464,1149
936,150,1086
947,143,1090
